t,inf.prom,inf.trim
1,3.565426044,3.844809507
2,4.705441471,3.963414634
3,3.01960033,4.01897851
4,5.299413666,7.407407407
5,1.009016636,-0.466562986
6,1.067528496,0.916430286
7,0.147149824,-0.980601151
8,0.743132418,1.66987797
9,0.898297463,1.47701269
10,1.128467108,1.081947506
11,0.998649482,0.756107018
12,1.294433699,1.598946576
13,0.625659796,0.76908991
14,1.58094392,2.124645892
15,-0.324339168,-0.435767823
16,1.034381798,1.219931271
17,1.220799453,0.576226539
18,0.758772291,0.304975923
19,0.778522605,0.676845585
20,0.919965623,0.458435208
21,0.071500032,0.488102502
22,1.16572682,1.261876485
23,0.462260933,0.56710775
24,1.069001695,0.492610837
25,0.943686758,1.073492981
26,0.819669638,0.641882856
27,0.896388916,0.33748702
28,0.791967231,0.866573213
29,1.145186077,0.036647935
30,0.048862451,0.048798341
31,0.698593317,0.600672753
32,0.416249051,0.366950758
33,0.819263112,0.660333642
34,0.462333503,0.147777651
35,0.09091731,-0.169510679
36,1.048348678,0.485169258
37,-0.282060807,-0.462656973
38,0.535973401,0.624657534
39,0.907017531,0.543536182
40,0.446953933,0.26216443
41,0.770784718,1.079510069
42,0.214593904,0.502512563
43,-0.023356844,0.143163923
44,0.700246552,1.132686084
45,0.879544606,0.538634806
46,0.488072269,0.734938594
47,0.813273386,0.319578908
48,0.676286541,0.581824898
49,0.946317952,0.646842153
50,0.49154278,0.575017693
51,0.182559818,-0.261757264
52,0.432685018,0.564481112
53,0.771731368,0.43224002
54,0.3224862,0.268163915
55,0.319381028,0.415627598
56,0.488799367,0.582588004
57,0.996901144,0.717817834
58,0.585367259,0.3984375
59,0.518864124,0.779862559
60,0.853534777,0.585981519
61,0.854778147,0.468144247
62,0.595907622,0.655100425
63,0.717524262,0.847158489
64,0.585701628,-0.041259799
65,0.454999651,0.484178942
66,0.680847106,0.595357549
67,0.135700628,-0.376088678
68,0.613606991,1.291002503
69,0.84336366,0.863447394
70,0.141860037,0.450336166
71,0.770760409,0.67714481
72,1.054290545,0.935538387
73,0.951863121,1.176124669
74,1.487078423,1.627486438
75,0.532619835,-0.153005464
76,0.042587141,-0.381159815
77,-0.420724025,-0.248481502
78,0.055350215,-0.03866976
79,0.336231481,0.616536387
80,-0.061992817,-0.049306963
81,0.959893174,1.149901585
82,0.102711696,0.50282196
83,0.234378064,0.284697509
84,0.461296038,0.080064051
85,0.833065899,0.925379012
86,0.552943591,0.530478395
87,0.494145559,-0.066131318
88,0.132247629,0.217042559
89,0.306791395,0.327623327
90,0.208007641,0.120683253
91,0.430857184,0.487490802
92,0.186085356,0.53994692
93,0.594314183,0.476190476
94,0.353643145,0.623219373
95,0.244224215,0.290697674
96,0.242618941,0.306131374
97,0.226208068,0.225694444
98,0.316686497,0.534759358
99,0.347920467,0.0509684
100,0.07927209,-0.109992385
