"Series 1" ; "Series 2" ; "Series 3"
"1" ; 10630.0053680567 ; 517.166666666667 ; 10112.83870139
"2" ; 11240.2799835167 ; 413.033333333333 ; 10827.2466501833
"3" ; 11890.8372795933 ; 571 ; 11319.8372795933
"4" ; 12434.7793354967 ; 259.966666666667 ; 12174.81266883
"5" ; 13226.07821864 ; 421.833333333333 ; 12804.2448853067
"6" ; 13660.4827127067 ; 478.5 ; 13181.9827127067
"7" ; 13927.1 ; 501.333333333333 ; 13425.7666666667
"8" ; 14458.2333333333 ; 704.1 ; 13754.1333333333
"9" ; 15548.5 ; 1316.9 ; 14231.6
"10" ; 16219.7666666667 ; 1798.66666666667 ; 14421.1
"11" ; 17027.0666666667 ; 1997.9 ; 15029.1666666667
"12" ; 18327.3 ; 2166.3 ; 16161
"13" ; 19846.7666666667 ; 2731.2 ; 17115.5666666667
"14" ; 20820.3666666667 ; 2718.46666666667 ; 18101.9
"15" ; 21581.5666666667 ; 2302.23333333333 ; 19279.3333333333
"16" ; 22561.9 ; 1628.2 ; 20933.7
"17" ; 22706.8333333333 ; 1139.1 ; 21567.7333333333
"18" ; 23596.9666666667 ; 1204.53333333333 ; 22392.4333333333
"19" ; 24439.6666666667 ; 1421.8 ; 23017.8666666667
"20" ; 24844.5333333333 ; 1120.16666666667 ; 23724.3666666667
"21" ; 25500.3666666667 ; 1173.23333333333 ; 24327.1333333333
"22" ; 25404.2 ; 1339.16666666667 ; 24065.0333333333
"23" ; 26339.3 ; 1570.56666666667 ; 24768.7333333333
"24" ; 26485.7666666667 ; 417.7 ; 26068.0666666667
"25" ; 28700.0666666667 ; 2008.9 ; 26691.1666666667
"26" ; 29109.7333333333 ; 1911.5 ; 27198.2333333333
"27" ; 29420.4333333333 ; 1685.2 ; 27735.2333333333
"28" ; 30834.0666666667 ; 1288.4 ; 29545.7
"29" ; 30865.0333333333 ; 494.666666666667 ; 30370.3666666667
"30" ; 31856.4 ; 999.6 ; 30856.8
"31" ; 32267.1333333333 ; 824.633333333333 ; 31442.5
"32" ; 32011.6333333333 ; -31.6 ; 32043.2333333333
"33" ; 32199.1 ; -341.766666666667 ; 32540.8666666667
"34" ; 33228.9333333333 ; -118 ; 33346.9333333333
"35" ; 34681.2333333333 ; 822.933333333333 ; 33858.3
"36" ; 35938.7 ; 830.033333333333 ; 35108.6666666667
"37" ; 35785.7666666667 ; 1179.73333333333 ; 35889.5333333333
"38" ; 35728.6 ; 308.8 ; 35419.8
"39" ; 36990.3333333333 ; 567.566666666667 ; 36422.7666666667
"40" ; 39653.8666666667 ; 1023.46666666667 ; 38630.3666666667
"41" ; 41406.2333333333 ; 1010.06666666667 ; 40396.1666666667
"42" ; 44545.7 ; 2805 ; 41740.7
"43" ; 46431.0666666667 ; 2690.8 ; 43740.2666666667
"44" ; 49394.3 ; 2554.23333333333 ; 46840.0666666667
"45" ; 51612.2 ; 1653.73333333333 ; 49958.4666666667
"46" ; 55319.1333333333 ; 2422.6 ; 52896.5333333333
"47" ; 59159.1666666667 ; 3184.53333333333 ; 55974.6333333333
"48" ; 63026.8666666667 ; 2393.56666666667 ; 60633.3
"49" ; 65585.0333333333 ; 1151.4 ; 64433.6333333333
"50" ; 68604.8 ; 1420.2 ; 67184.6
"51" ; 72856.5666666667 ; 1686.9 ; 71169.6666666667
"52" ; 78712.6666666667 ; 2176.06666666667 ; 76536.6
"53" ; 80775.9333333333 ; 1246.66666666667 ; 79529.2666666667
"54" ; 82264.1333333333 ; 1044.56666666667 ; 81219.5666666667
"55" ; 82671.4666666667 ; -413.633333333333 ; 83085.1
"56" ; 84895.5 ; -911.9 ; 85807.4
"57" ; 85763.2666666667 ; -1597.13333333333 ; 87360.4
"58" ; 85785.9666666667 ; -1332.43333333333 ; 87118.4
"59" ; 86240.8 ; -1030.16666666667 ; 87270.9666666667
"60" ; 88041.0666666667 ; 54.1333333333333 ; 87986.9333333333
"61" ; 88397.2666666667 ; 584.733333333333 ; 87812.5333333333
"62" ; 88924.5666666667 ; 645.1 ; 88279.4666666667
"63" ; 92378.8 ; 3591.96666666667 ; 88786.8333333333
"64" ; 96938.8666666667 ; 5055.6 ; 91883.2666666667
"65" ; 99475.6333333333 ; 5447.16666666667 ; 94028.4666666667
"66" ; 102695.366666667 ; 6495.3 ; 96200.0666666667
"67" ; 106919.033333333 ; 7704.16666666667 ; 99214.8666666667
"68" ; 113233.866666667 ; 8800.3 ; 104433.566666667
"69" ; 116255.9 ; 8949.9 ; 107306
"70" ; 119531.2 ; 8616 ; 110915.2
"71" ; 122640.466666667 ; 6835.66666666667 ; 115804.8
"72" ; 127049.266666667 ; 5294.46666666667 ; 121754.8
"73" ; 132261.933333333 ; 6654.1 ; 125607.833333333
"74" ; 134522.066666667 ; 6307.96666666667 ; 128214.1
"75" ; 139930.666666667 ; 5787.4 ; 134143.266666667
"76" ; 146249.433333333 ; 7136.06666666667 ; 139113.366666667
"77" ; 146834.5 ; 6921.43333333333 ; 139913.066666667
"78" ; 152111 ; 8650.8 ; 143460.2
"79" ; 154700 ; 7828.43333333333 ; 146871.566666667
"80" ; 158794.433333333 ; 8324.6 ; 150469.833333333
"81" ; 166291 ; 11065.9333333333 ; 155225.066666667
"82" ; 170879.833333333 ; 10660.6 ; 160219.233333333
"83" ; 174469.933333333 ; 9763.83333333333 ; 164706.1
"84" ; 178862.7 ; 8600.33333333333 ; 170262.366666667
"85" ; 181244.566666667 ; 8436.26666666667 ; 172808.3
"86" ; 180629.2 ; 7148.3 ; 173480.9
"87" ; 180646.733333333 ; 5991.86666666667 ; 174654.866666667
"88" ; 185950.966666667 ; 7103.36666666667 ; 178847.6
"89" ; 189647.7 ; 8034.23333333333 ; 181613.466666667
"90" ; 192076.8 ; 8747.96666666667 ; 183328.833333333
"91" ; 192225.766666667 ; 8476 ; 183749.766666667
"92" ; 195996.533333333 ; 8788.93333333333 ; 187207.6
"93" ; 199629.466666667 ; 10657.5333333333 ; 188971.933333333
"94" ; 204204.6 ; 13078.3666666667 ; 191126.233333333
"95" ; 208804.833333333 ; 15717.0333333333 ; 193087.8
"96" ; 217868.8 ; 18307.6 ; 199561.2
"97" ; 221333.066666667 ; 19083 ; 202250.066666667
"98" ; 226562.966666667 ; 21456.7333333333 ; 205106.233333333
"99" ; 228709.3 ; 22939.0666666667 ; 205770.233333333
"100" ; 233636.6 ; 22786.5 ; 210850.1
